simple_ingr,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Cluster
Chives,11156.0,0.0,2612.0,0.0,4.35,0.0,5.2,2.5,323.0,0.0,0.647,3.27,0.0,0.115,0.9,1.85,0.078,90.65,0.095,0.267,0.146,0.73,92.0,0.157,1.6,42.0,58.0,296.0,3.0,0.56,218.0,0.0,0.138,58.1,0.21,212.7,2
Cilantro,11165.0,36.0,3930.0,202.0,3.67,0.0,12.8,2.8,865.0,0.0,1.114,2.13,0.0,0.162,0.9,0.87,0.067,92.21,0.275,0.04,0.014,0.52,67.0,0.225,1.77,26.0,48.0,521.0,46.0,0.5,337.0,0.0,0.149,27.0,2.5,310.0,1
Cinnamon Buns,18964.0,0.0,1.0,0.0,48.6,5.0,10.6,1.2,6.0,0.0,2.404,4.45,0.0,0.138,13.0,25.7,0.211,18.98,8.723,3.676,12.649,26.61,183.0,0.062,1.37,14.0,131.0,102.0,305.0,0.53,0.0,0.16,0.038,0.3,1.15,15.2,3
Cocoa,19165.0,0.0,0.0,0.0,57.9,0.0,12.0,37.0,38.0,0.0,2.185,19.6,0.0,0.241,14.3,1.75,0.078,3.0,4.57,0.44,8.07,13.7,128.0,3.788,13.86,499.0,734.0,1524.0,21.0,6.81,0.0,0.0,0.118,0.0,0.1,2.5,4
Collards,11162.5,70.5,4904.5,28.0,6.26,0.0,34.15,3.4,7610.5,0.0,0.6885,2.995,0.0,0.1225,1.4,0.515,0.0505,89.045,0.025,0.2055,0.0574999999999999,0.51,221.0,0.0505,0.795,28.5,26.0,232.0,33.5,0.24,413.0,0.0,0.1395,30.85,1.755,530.1500000000001,1
Cookie,28291.5,0.0,0.25,0.0,63.425,0.75,10.65,3.025,8.25,0.0,2.575,5.05,1.5,0.1475,9.375,33.125,0.2275,2.875,4.125,4.675,17.05,27.2,27.25,0.39925,2.685,21.25,65.5,185.25,308.5,0.3,1.5,0.025,0.0502499999999999,0.05,2.835,5.8,3
Cookies,22066.510638297877,0.1914893617021276,3.6595744680851054,0.6382978723404256,68.3568085106383,10.595744680851064,13.146808510638298,3.0489361702127664,23.19148936170213,0.0425531914893617,2.57136170212766,5.117234042553191,7.702127659574468,0.251531914893617,8.746808510638298,32.78446808510638,0.2708297872340425,7.700638297872341,5.998021276595744,4.107106382978723,6.280340425531914,17.44468085106383,38.08510638297872,0.1941276595744681,2.9861702127659573,29.0,101.3191489361702,168.4255319148936,345.7872340425532,0.615531914893617,8.063829787234043,0.072127659574468,0.0801063829787234,0.1191489361702127,1.5927659574468085,7.997872340425531,3
Corn,11292.6,14.4,30.0,55.4,16.866,0.0,19.94,1.86,724.4,0.0,1.186,2.36,0.0,0.0547999999999999,0.5599999999999999,4.23,0.0528,79.166,0.254,0.3512,0.1629999999999999,0.8859999999999999,3.0,0.043,0.4,22.0,62.2,181.0,98.8,0.466,5.4,0.0,0.0658,3.86,0.066,0.12,2
Corn Flour,20018.0,0.0,2.0,2.0,76.59,0.0,8.6,6.4,6.0,0.0,5.783,8.46,0.0,0.451,10.5,1.61,0.8490000000000001,9.79,0.997,1.724,0.532,3.69,138.0,0.209,4.985,93.0,231.0,262.0,5.0,1.8,0.0,0.0,0.475,0.0,0.12,0.0,3
Corn dogs,22973.0,0.0,3.0,4.0,26.96,44.0,26.9,1.0,132.0,0.0,2.786,8.57,47.0,0.155,27.6,7.54,0.141,50.32,4.732,3.354,3.466,12.02,72.0,0.072,1.9,17.0,224.0,125.0,668.0,0.85,48.0,0.48,0.117,0.5,0.6,5.8,3
